sentence1,relation,relationscore,structure,structurescore
A deer jumps a fence.,A fence jumps a deer.,1,A fence jumps a deer.,1
A person is on a baseball team.,A baseball team is on a person.,1,"On a baseball team, a person is.",5
A bike is next to a couple women.,A couple women are next to a bike.,4,"Next to a couple women, a bike is.",5
The group is eating while taking in a breathtaking view.,"While taking in a breathtaking view, the group is eating.",4,"While taking in a breathtaking view, the group is eating.",4
The boy is raising his hand.,Raising his hand is the boy.,4,"His hand is raising, the boy is.",2
A man with a gray beard is being shaved in front of a lecture hall,"In front of a lecture hall, a man with a gray beard is being shaved.",4,"In front of a lecture hall, a man with a gray beard is being shaved.",5
A young person  deep in thought.,Deep in thought is a young person.,4,Deep in thought is a young person.,5
A man is performing labor.,Performing labor is a man.,4,Labor is being performed by a man.,5
Two men wearing traditional clothing is standing outside.,Standing outside are two men wearing traditional clothing.,4,"Outside, two men wearing traditional clothing are standing.",5
a man wearing a gray hat fishing out of a fishing boat.,"Out of a fishing boat, a man wearing a gray hat is fishing.",4,Fishing out of a fishing boat is a man wearing a gray hat.,4
A little girl in an orange striped outfit is airborne whilst bouncing on a bed.,"Whilst bouncing on a bed, a little girl in an orange striped outfit is airborne.",4,"Bouncing on a bed, a little girl in an orange striped outfit is airborne.",5
A person is watching people ski down the hill.,People are skiing down the hill while a person watches.,4,People skiing down the hill are being watched by a person.,5
The yard has a dog.,The dog has a yard.,3,There is a dog in the yard.,5
Three women cook.,Cooks are three women.,4,"Cooking, three women are.",3
The woman is kneeling next to a cat.,A cat is kneeling next to the woman.,4,"Kneeling next to a cat, the woman is.",5
A woman in a plaid outfit is looking through a bag of produce.,A bag of produce is looking through a woman in a plaid outfit.,1,Looking through a bag of produce is a woman in a plaid outfit.,5
The tennis player hit the ball into outer space and broke the death star.,The death star hit the ball into outer space and broke the tennis player.,2,"Into outer space, the tennis player hit the ball and broke the death star.",5
A boy climbs a forest hill.,A forest hill climbs a boy.,2,A forest hill is climbed by a boy.,5
Blond boy jumping onto deck.,Deck jumping onto blond boy.,2,"Onto deck, jumping is a blond boy.",3
The girl has something on her head.,Something on her head has the girl.,5,"On her head, the girl has something.",5
There are four people outside.,"Outside, there are four people.",5,"Outside, there are four people.",4
A man is demonstrating how to work with clay while at least two people observe.,At least two people are demonstrating how to work with clay while a man observes.,2,"While at least two people observe, a man is demonstrating how to work with clay.",5
A dog has a sweater on.,A sweater has a dog on.,2,"On a dog, a sweater is.",3
Sculptor applying concrete to large statue of human figure standing with no head.,Large statue of human figure standing with no head applying concrete to sculptor.,1,"Applying concrete to a large statue of a human figure standing with no head, sculptor is.",4
A boy with dark hair is in water and is looking up.,A person is in water and is looking up behind a boy with dark hair.,4,"In water and looking up, a boy with dark hair is.",5
A pole is behind a person that is playing peekaboo with a child.,A person that is playing peekaboo with a child is behind a pole.,4,A person playing peekaboo with a child has a pole behind them.,4
A woman is about to paint.,A paint is about to woman.,1,"About to paint, a woman is.",4
a man working at the steel mill,A steel mill is working at the man.,2,"At the steel mill, a man is working.",5
The young woman is flirting with the young boy.,The young boy is flirting with the young woman.,4,"With the young boy, the young woman is flirting.",5
the men are about to score in a water polo tournament,"In a water polo tournament, the water is about to score the men.",2,"In a water polo tournament, the men are about to score.",3
A man eats popcorn while watching cartoons late one night.,"Watching cartoons late one night, a man eats popcorn.",5,"While watching cartoons late one night, a man eats popcorn.",5
Three men sit on a bench.,A bench sits on three men.,2,"On a bench, sit three men.",4
The road is long.,Long is the road.,3,Long is the road.,5
a young man wearing a white t-shirt and green and black shorts standing on a stump.,A stump is standing on a young man wearing a white t-shirt and green and black shorts.,2,"On a stump, standing a young man wearing a white t-shirt and green and black shorts.",4
A dog under the stairs,The stairs are under a dog.,3,"Under the stairs, a dog.",5
Two women give a demonstration at a Renaissance Fair.,"At a Renaissance Fair, two women give a demonstration.",4,"At a Renaissance Fair, give a demonstration two women.",3
Some guy sitting on a couch watching television.,"Watching television, some guy sitting on a couch.",5,"On a couch, watching television, some guy sitting.",5
A woman is posing for a Christmas card.,There is a woman posing for a Christmas card.,4,"For a Christmas card, posing a woman is.",3
A man is working on his farm.,Working on his farm is a man.,4,"On his farm, working a man is.",4
A girl is talking to her dad on a cellphone.,Talking to her dad on a cellphone is a girl.,5,"On a cellphone, a girl is talking to her dad.",5
A group of teenagers jumping and having a good time.,The good time is jumping and having a group of teenagers.,2,Jumping and having a good time are a group of teenagers.,4
A man is playing his guitar at Joe's Cafe.,Joe's Cafe is playing his guitar at a man.,1,"At Joe's Cafe, playing his guitar, a man is.",4
Someone is on a blanket.,A blanket is on someone.,4,"On a blanket, someone is.",4
The man has a orange shirt.,An orange shirt has the man.,4,"Has an orange shirt, the man.",4
The two kids look at the products sold inside the subway shop.,The products sold inside the subway shop look at the two kids.,1,"Inside the subway shop, the products sold, the two kids look at.",4
The baby boy wants his mother.,His mother wants the baby boy.,4,"Wants his mother, the baby boy.",4
A boy is very close to a girl.,A girl is very close to a boy.,4,Very close to a girl is a boy.,4
Six children are cleaning a room.,"Cleaning a room, six children.",4,"Cleaning a room, six children are.",4
There is a cook preparing food.,"Preparing food, there is a cook.",4,"Preparing food, there is a cook.",4
Two men are helping a boy.,"Helping a boy, two men.",4,"Helping a boy, two men are.",4
A man is doing a stunt on his bicycle.,The bicycle is doing a stunt on a man.,2,"Doing a stunt on his bicycle, a man is.",5
Ten people riding ATVs.,ATVs are riding ten people.,4,"Riding ATVs, ten people are.",4
A yellow vested person is doing road work.,Road work is doing a yellow vested person.,1,"Doing road work, a yellow vested person is.",2
Two workers are sitting next to pipes eating lunch,Lunch is being eaten by pipes next to two workers sitting.,3,"Sitting next to pipes eating lunch, two workers are.",4
A group of people living in the desert,The desert is living in a group of people.,2,"In the desert, a group of people is living.",4
Two kids are swimming.,Swimming is being done by two kids.,4,"Swimming, two kids are.",3
people getting their dirty clothes cleaned,Dirty clothes are getting people cleaned.,2,Dirty clothes are being cleaned for people.,4
The children are holding musical instruments.,Musical instruments are being held by the children.,5,"Holding musical instruments, the children are.",4
A group of people are wearing police uniforms conducting an arrest.,An arrest is being conducted by a group of people wearing police uniforms.,5,"Wearing police uniforms conducting an arrest, a group of people is.",4
the man is planning to shoot a wedding,The wedding is being planned to be shot by the man.,5,"Planning to shoot a wedding, the man is.",4
The child's bike got wet.,The wet got the child's bike.,4,The rain wet the child's bike.,5
A soldier walks a dog.,A dog walks a soldier.,2,A dog is being walked by a soldier.,5
A shirtless woman is operating a lawn mower.,A lawn mower is operating a shirtless woman.,2,Operating a lawn mower is a shirtless woman.,3
The two officers are driving,Driving are the two officers.,5,"Driving, the two officers are.",5
A man is laughing with a woman,A woman is laughing with a man.,5,"With a woman, a man is laughing.",4
He is about to run into the boat,The boat is about to run into him.,5,"Into the boat, he is about to run.",4
2 Cows are in a field.,"In a field, there are 2 cows.",5,"In a field, 2 cows are.",5
A wet child enjoys the summer.,The summer enjoys a wet child.,2,"Enjoying the summer, a wet child is.",4
The girl has a driver's license,The driver's license has a girl.,2,A driver's license has the girl.,3
People on motorcycles wearing racing gear ride around a racetrack,A racetrack rides around people on motorcycles wearing racing gear.,1,"Around a racetrack, people on motorcycles wearing racing gear ride.",5
A man is standing on the ground with a paintbrush,A paintbrush is standing on the ground with a man.,2,"With a paintbrush, a man is standing on the ground.",4
The kids are at the theater watching a movie.,A movie is watching the kids at the theater.,1,"Watching a movie at the theater, the kids are.",2
Two women walk down the sidewalk to the store.,The store walks down the sidewalk to two women.,1,"Down the sidewalk to the store, two women walk.",4
A man has his son on his back,A son has his man on his back.,2,"On his back, a man has his son.",5
A group of dark-skinned people are walking past barbed wire.,Barbed wire is walking past a group of dark-skinned people.,1,"Past barbed wire, a group of dark-skinned people are walking.",4
Zombies parading around eating brains.,Brains eating zombies parading around.,2,"Eating brains, zombies are parading around.",4
A group of people are sitting at at a beach on towels watching the Blue Angels.,The Blue Angels are watching a group of people sitting at a beach on towels.,1,"At a beach on towels, a group of people are sitting, watching the Blue Angels.",4
Three people are meeting for coffee.,Coffee is meeting three people.,1,Coffee is being met by three people.,2
A young girl with dirt on her face and a red child's bike is in the background.,A red child's bike and dirt on her face are in the background of a young girl.,4,"In the background, a young girl with dirt on her face and a red child's bike is.",5
A line of scooters are parking in the middle of a street.,A street is parking in the middle of a line of scooters.,1,"Parking in the middle of a street, a line of scooters are.",3
A man holding a cat.,A cat is holding a man.,2,"Holding a cat, a man is.",4
The cats are running through the grass.,The grass is running through the cats.,1,"Through the grass, the cats are running.",5
The two boys are playing kick ball back and forth to each other.,Kick ball is playing back and forth to each other by the two boys.,2,Kick ball is being played back and forth by the two boys.,4
Two girls are running.,Running are two girls.,4,"Running, two girls are.",4
A little girl in a white blouse and blue pants frolics on the grass.,"On the grass, a little girl in a white blouse and blue pants is frolicking.",5,"On the grass, frolics a little girl in a white blouse and blue pants.",4
A man in a white shirt and hat playing a guitar.,A guitar is playing a man in a white shirt and hat.,2,"Playing a guitar, a man in a white shirt and hat is.",4
the people are running a marathon,A marathon is running the people.,2,"Running a marathon, the people are.",4
A group of people are nervous about crossing the water.,The water is nervous about crossing a group of people.,1,Crossing the water makes a group of people nervous.,4
A group of kids are having a jumping contest.,A jumping contest is having a group of kids.,2,"Having a jumping contest, a group of kids are.",2
The person is wearing a fedora.,Wearing a fedora is the person.,4,"Wearing a fedora, the person is.",5
A woman and a man embrace while watching a horror movie.,"While watching a horror movie, a woman and a man embrace.",4,"While watching a horror movie, a woman and a man embrace.",5
A man in a blue dress shirt.,"In a blue dress shirt, a man is.",4,"In a blue dress shirt, a man is.",5
A couple is playing the game of Life.,Playing the game of Life is a couple.,4,"Playing the game of Life, a couple is.",4
The head of a child with dark glasses is in focus.,In focus is the head of a child with dark glasses.,4,"In focus, the head of a child with dark glasses is.",5
A maintenance guy is repairing a net on a tennis court.,Repairing a net on a tennis court is a maintenance guy.,4,"Repairing a net on a tennis court, a maintenance guy is.",4
A kid sits on a soccer ball outside.,"On a soccer ball outside, a kid sits.",4,"Outside, on a soccer ball, a kid sits.",5
A man in a brown coat rubs his nose.,His nose is rubbing a man in a brown coat.,2,"Rubbing his nose, a man in a brown coat is.",4
The dog is chasing the geese.,The geese are chasing the dog.,2,"Chasing the geese, the dog is.",3
Small child playing with letter P,Letter P is playing with a small child.,4,"Playing with letter P, small child is.",3
A brown dog is jumping.,Jumping is a brown dog.,2,"Jumping, a brown dog is.",4
A group of teenagers in red shirts are smiling.,Smiling are a group of teenagers in red shirts.,2,"Smiling, a group of teenagers in red shirts are.",5
"I remained under the banyan tree, exhausted by my daily ritual of dragooning the men every two hours.","Exhausted by my daily ritual of dragooning the men every two hours, I remained under the banyan tree.",5,"Exhausted by my daily ritual of dragooning the men every two hours, I remained under the banyan tree.",5
"In the US, it will depend on the school.",It will depend on the school in the US.,4,"In the school, it will depend in the US.",2
There's also what the string is made of.,What the string is made of is also there.,4,What the string is made of is also there.,5
You also imply you may not be paid if they cannot place you with a client.,"If they cannot place you with a client, you also imply you may not be paid.",4,"If they cannot place you with a client, you also imply you may not be paid.",5
I did this one time as well.,"This one time, I did as well.",4,"As well, I did this one time.",5
"You just have to base your answer on what you do know, which is what you want.",What you want just has to base your answer on what you do know.,3,"Base your answer on what you want, which is what you do know.",5
You do not need to worry.,"To worry, you do not need.",1,There is no need to worry.,5
You should do it.,It should be done by you.,4,Do it.,4
You should just ask your boss what he wants you to do.,"What he wants you to do, you should just ask your boss.",3,Just ask your boss what he wants you to do.,4
You need to read a lot to know what you like and what you don't.,"To know what you like and what you don't, you need to read a lot.",4,"To know what you like and what you don't, you need to read a lot.",4
It depends on what you want to have in your tank.,What you want to have in your tank depends on it.,3,What you want to have in your tank depends on it.,3
"You can do it, too.","Too, you can do it.",4,"Too, you can do it.",5
You have to decide what you want to get out of this.,"What you want to get out of this, you have to decide.",3,Decide what you want to get out of this.,4
I have few suggestions for you:,"For you, I have a few suggestions:",4,"For you, I have few suggestions.",3
You want to start in the room that is the largest to make sure you have the straightest start.,"To make sure you have the straightest start, you want to start in the room that is the largest.",4,"To ensure the straightest start, it is recommended to begin in the largest room.",5
"if you don't want to derail the meeting, but the key is to speak up.","If the key is to speak up, but you don't want to derail the meeting.",3,Speaking up is the key to avoid derailing the meeting.,4
Unfortunately the answer to your question is we simply do not know.,"We simply do not know the answer to your question, unfortunately.",4,"Regrettably, we do not have an answer to your question.",5
As soon as possible.,As soon as possible.,5,As soon as possible.,5
The answer to both questions is: Yes.,"Yes, the answer to both questions is.",3,Yes is the answer to both questions.,5
To give this an answer:,To answer this:,3,To give this an answer:,5
The rule - When in doubt throw it out!,"When in doubt, throw it out! - The rule",4,"Throw it out when in doubt, that's the rule!",5
This is not a good idea.,"Not a good idea, this is.",2,"A good idea, this is not.",3
It probably depends on the cut of meat.,The cut of meat probably depends on it.,4,The cut of meat probably determines it.,4
It's not a good idea.,A good idea it is not.,4,A good idea it is not.,4
It's pretty much up to you.,You pretty much are up to it.,4,It's up to you pretty much.,5
"Yes, there is a reason for it.","There is a reason for it, no?",4,"There is a reason for it, yes.",4
Have you tried asking your employees?,"Your employees, have you tried asking?",2,"Asking your employees, have you tried?",2
You guys are making this all WAAAAAY too complicated.,"This all WAAAAAY too complicated, you guys are making.",0,"All WAAAAAY too complicated, you guys are making this.",5
You don't have to know.,"You have to know, you don't.",1,"Know, you don't have to.",5
There are two things to consider:,"Consider, there are two things to.",2,Consider two things:,3
Work into it slowly.,Slowly work into it.,3,Slowly work into it.,5
You can buy it on amazon for $5.,It can be bought on amazon for $5.,4,"On Amazon for $5, you can buy it.",5
"The coffee simply picks up the aluminum from the pot, as the coffee is acidic.","The aluminum simply picks up the coffee from the pot, as the coffee is acidic.",1,"The aluminum is picked up by the coffee from the pot, as the coffee is acidic.",5
There are two ways to start with: plunging and dripping.,There are two ways to start with: dripping and plunging.,4,Plunging and dripping are the two ways to start with.,4
You might have to try a variety before you find one that clicks with him.,You might have to try a variety before one that clicks with him is found.,3,"Before you find one that clicks with him, you might have to try a variety.",5
"Yes, you should mention your experience.","Yes, your experience should be mentioned.",4,"Your experience, yes, you should mention.",4
From what I understand this is what you can do :,This is what you can do from what I understand:,2,"This is what you can do, from my understanding:",4
Take a look at these:,"These, take a look at:",1,"These, take a look at.",3
I'd say it primarily depends on two things:,"It primarily depends on two things, I'd say:",4,"Primarily, it depends on two things.",4
Some of what you can do:,Do some of what you can:,3,"What you can do, some of it is.",4
"The answers so far are already good, but I'd like to add a map for Switzerland:","But I'd like to add a map for Switzerland, the answers so far are already good:",2,"Although the answers so far are good, I'd like to add a map for Switzerland.",3
I was in a similar situation.,"In a similar situation, I was.",3,"A similar situation, I was in.",5
I've had this same problem.,"This same problem, I've had.",3,"This same problem, I've had.",5
There is no maximum.,"No maximum, there is.",4,There is no limit.,5
I am not sure this is the right site for the question.,"This is not the right site for the question, I am not sure.",2,"The right site for the question, I am not sure this is.",2
"It depends on what you want to do next, and where you want to do it.","What you want to do next, and where you want to do it, it depends on.",3,"What you want to do next and where you want to do it, it depends on.",4
You are not disclosing key info.,"Not disclosing key info, you are.",2,"Key info, you are not disclosing.",5
This is a problem that the professor has to deal with.,This is a problem that has to deal with the professor.,3,"A problem that the professor has to deal with, this is.",2
This is a very unusual request.,This is a very unusual request.,5,This request is highly unusual.,5
It very much depends on the grant in question.,The grant in question very much depends on it.,4,The grant in question is a significant factor.,4
I have the same thing.,The same thing I have.,4,"The same thing, I have.",4
No it does not affect your ratings.,Your ratings are not affected by it.,5,"Your ratings, no it does not affect.",4
"My answer to your question is ""Probably Not"".","""Probably Not"" is my question to your answer.",3,"""Probably not"" is my answer to your question.",5
I don't think it makes any tremendous difference.,I don't think any tremendous difference is made by it.,5,"There is no significant difference, in my opinion.",4
It depends on what they are.,What they are depends on it.,4,"What they are, it depends on.",4
There's not a lot you can do about that.,You can't do a lot about that.,4,"About that, not a lot you can do.",4
You answered your own question.,Your own question was answered by you.,4,"Your own question, you answered.",5
The best thing you can do is to know your stuff.,To know your stuff is the best thing you can do.,4,"To know your stuff, the best thing you can do is.",5
You are on the right path.,The path is on the right of you.,4,"On the right path, you are.",5
"This doesn't answer your question, but:",But this question doesn't answer you:,3,"Your question, this doesn't answer, but:",4
How should I proceed about this?,"About this, how should it proceed?",5,What should be done about this?,4
Does this page answer your question?,Your question answers this page?,3,"Your question, does this page answer?",4
"You can use it, too.","Too, you can use it.",4,"Too, you can use it.",5
It really depends on how the employer documents it.,How the employer documents it really depends.,5,How the employer documents it really determines it.,4
"Yes, you have to file a tax return in Canada.","In Canada, a tax return has to be filed by you, yes.",5,A tax return must be filed in Canada by you.,5
I don't see why there should be any problem with this whatsoever.,"There should be any problem with this whatsoever, I don't see why.",4,"There should not be any problem with this, as far as I can see.",5
Hope this is what you are looking for.,"You are looking for this, hope it's what.",3,"What you are looking for, hope this is.",3
It depends on the dish and how amenable it is at the stage you make the mistake.,"At the stage you make the mistake, it depends on how amenable the dish is.",5,The dish and its amenability at the stage of the mistake determine the outcome.,3
You PROBABLY don't have any chance at the moment.,"At the moment, you probably have any chance.",2,"At the moment, you may not have any chance.",3
It really doesn't matter.,It matters really.,4,"Matter, it really doesn't.",3
You don't need to know everything.,You don't need everything to know.,1,You do not have to know everything.,5
I think you're looking for Mikey (1992).,I think for Mikey (1992) you're looking.,2,"Mikey (1992), I think you're looking for.",5
It makes absolutely NO difference.,It makes NO absolutely difference.,2,"NO difference, it makes absolutely.",3
I think it's fine to ask this question.,I think it's fine this question to ask.,3,"To ask this question, I think it's fine.",5
I'm going to be very direct here.,I'm going to be very here direct.,3,"Here, I will be very direct.",4
What kind of insulation is it?,What kind of it is insulation?,2,What is the insulation type?,4
It depends entirely on your company and your contract.,It depends on your company and your contract entirely.,4,"On your company and your contract, it depends entirely.",5
I don't think that there's any.,I think that there's any don't.,1,I believe there is none.,4
There are a few things you can do:,There are a few do you can things:,2,A few things can be done:,4
This is the tip I find most useful:,"I find most useful, this is the tip.",3,I find this tip most useful.,5
That's what I believe.,"What I believe, that's.",3,I believe that.,5
"If you are not sure how to do it, don't do it at all.","If you are not sure how to do it at all, don't do it.",4,"At all, don't do it if you are not sure how to do it.",4
It's all in her head.,"All in her head, it's.",3,"In her head, it's all.",5
"I would say you can do it, but it wouldn't be advised.","You can do it, but I wouldn't advise.",2,"It is possible to do it, but it is not advisable.",4
Can you do this?,"This, can you do?",3,"This, can you do?",5
"Sure, I've  done this very trip.","I've done this very trip, sure.",3,"Very trip, I've done this sure.",3
How do you do that?,How do that you do?,2,"That, how do you do?",4
I've located an article that might be of some help: http://www.dsattorney.com/qa-pseudonyms-in-contracts/,I've located an article that might be of some help: http://www.dsattorney.com/qa-pseudonyms-in-contracts/,5,"Of some help, an article that might be, I've located: http://www.dsattorney.com/qa-pseudonyms-in-contracts/",3
It's also a matter of taste.,A matter of taste it's also.,2,"A matter of taste, it's also.",4
This answer is based on my experience teaching undergraduate math in the US.,"Based on my experience teaching undergraduate math in the US, this answer is.",4,"Based on my experience teaching undergraduate math in the US, this answer is.",5
There are a few things I think you should do.,There are a few things you should do I think.,2,I think you should do a few things.,4
You will want to clean the area first.,The area first you will want to clean.,4,"First, clean the area you will want to.",3
There are a couple of options that you could consider:,You could consider a couple of options there are:,4,Consider a couple of options that you could.,4
You don't have to worry.,Worrying is not something you have to do.,5,Worrying is unnecessary.,5
Vietnamese citizens need a visa to visit the USA.,A visa is needed by the USA to visit Vietnamese citizens.,5,"To visit the USA, Vietnamese citizens need a visa.",5
It depends on how it's used.,How it's used depends on it.,2,"Used, it depends on how it's.",4
You got it right.,"Right, you got it.",5,"Right, you got it.",5
What is your lid made of?,What made your lid?,4,Made of what is your lid?,5
You don't need any visa.,Visa is needed by you.,4,"Any visa, you don't need.",5
"That is your problem, not your supervisor's.","Not your supervisor's, but your problem.",5,"Not your supervisor's, that is your problem.",4
"The wood probably isn't rotten, it's just worn out.","Just worn out, the wood probably isn't rotten.",4,"The wood is likely worn out, not rotten.",4
"Well, I wouldn't put it on my cv.","On my CV, I wouldn't put it well.",3,"On my CV, I wouldn't put it.",4
This is a great one...,This one is great... or not.,4,"A great one, this is...",5
"Yes, there is a reason to not do what you propose.","Not doing what you propose, there is a reason to do so.",4,"There is a reason to not do what you propose, yes.",4
I think it is depends on the program.,"I depends on the program, I think.",5,"Depends on the program, I think it is.",4
I think there isn't a general answer.,"A general answer, I think there is.",4,"A general answer, I think there isn't.",3
"The key is you have to find something that works for you, and your goals.","You have to find something that works for your goals, and you.",4,Finding something that works for you and your goals is key.,5
I think you've pretty much done your review.,"Your review is pretty much done, I think.",5,"Your review is pretty much done, I think.",4
You burn more Calories digesting protein than you do carbohydrates and fat.,Carbohydrates and fat burn more Calories digesting protein than you do.,1,Digesting protein burns more calories than digesting carbohydrates and fat.,5
"Yes, there is a chemical difference.","A chemical difference, yes, there is.",1,"A chemical difference, yes, there is.",5
"They can be out of level by a bit, but flat is important.","By a bit, they can be out of level, but flat is important.",2,"By a bit, they can be out of level, but flat is important.",4
I would look at this: U.S.,"At this, I would look: U.S.",1,"This, I would look at: U.S.",4
"If you haven't, you should.","You should, if you haven't.",2,"You should, if you haven't.",4
It looks to me that this is set up for what you want:,What you want looks set up for me that this is:,0,"For what you want, this looks to me like it is set up.",4
"Problem is, the system doesn't account for people who could care less about money, or title.","People who could care less about money, or title doesn't account for the system, problem is.",0,"The system doesn't account for people who could care less about money or title, problem is.",4
"In the first case, I think you don't need it.","You don't need it, I think in the first case.",1,"I think you don't need it, in the first case.",3
It is impossible to answer this question without a form check.,"To answer this question without a form check, it is impossible.",2,"Without a form check, answering this question is not feasible.",4
You need to add this to your resume because it is the only position you have had.,"Because it is the only position you have had, you need to add this to your resume.",2,"Since it is the only position you have held, you should include it in your resume.",4
"No, you do not NEED a bread machine.","You do not NEED a bread machine, no.",1,"A bread machine, no, you do not NEED.",4
"Yes, it is possible to publish a paper on model analysis.","It is possible to publish a paper on model analysis, yes.",4,Publishing a paper on model analysis is indeed possible.,4
I think it is great that you had a test conducted.,"Having a test conducted is great, I think.",5,"Having a test conducted is great, I think.",4
"Yes, there is a rule against this.","There is no rule against this, no.",3,"There is a rule against this, yes.",4
What are your goals?,"Goals, what are yours?",5,What goals do you have?,5
I'm going to go out on a limb here...,..Here's a limb I'm going to go out on.,5,..I'm going out on a limb here.,4
"If your long stay visa for Switzerland is valid, then you will not need a transit visa.","If you need a transit visa, your long stay visa for Switzerland is not valid.",4,A transit visa will not be needed if your long stay visa for Switzerland is valid.,5
A few more point to think about:,Think about a few more points:,3,Think about a few more points.,3
Now you don't have to be perfect on every answer.,Every answer doesn't have to be perfect now.,5,You no longer have to be perfect on every answer.,5
It is more deciding what you should do and what you should get others to do.,It is more deciding what others should do and what you should do.,4,"Deciding what you should do and what you should get others to do, it is more.",4
It varies by the situation.,The situation varies by it.,4,"By the situation, it varies.",4
Primer/paint will not work.,It will not work primer/paint.,4,"Work, primer/paint will not.",3
I had the same problem as you.,You had the same problem as me.,5,"As you, I had the same problem.",4
Sometime if you really want it you might need to pay an agency to get the place for you.,"If an agency needs to get the place for you, you might really want it sometime.",4,"To get the place for you, sometime you might need to pay an agency if you really want it.",5
Also it is useful to keep the consistency in your story.,"Keeping the consistency in your story is useful, too.",5,Keeping consistency in your story is also useful.,5
I think it's just a habit.,"Just a habit, I think it is.",4,"A habit, I think it's just.",4
I'm thinking it's a bad idea.,"A bad idea, I'm thinking it's.",5,"A bad idea, I'm thinking it's.",5
You have a problem.,A problem has you.,4,"A problem, you have.",5
"Unfortunately, this question cannot be answered in its full generality.","In its full generality, this question cannot be answered, unfortunately.",4,"In its full generality, unfortunately, this question cannot be answered.",4
I would personally beware of the Motley Fool.,"Of the Motley Fool, I would personally beware.",5,"Of the Motley Fool, personally, I would beware.",5
The answer to this and all such similar questions is in two stages:,"In two stages, the answer to this and all such similar questions is:",4,The answer to this and all similar questions is in two stages.,5
There are a few possible reasons.,Possible reasons are a few.,5,A few possible reasons exist.,5
There are three options:,Three options are there:,5,"Three options, there are.",4
I realized there is already an accepted answer but I figure I would add my 2 cents.,I figure I would add my 2 cents but there is already an accepted answer.,4,"An accepted answer already exists, but I thought I would add my 2 cents.",4
"Yes, there is at least one to my knowledge.","To my knowledge, there is at least one, yes.",5,"To my knowledge, there is at least one.",5
There is no test that can tell you if it is sealed or not.,"If it is sealed or not, there is no test that can tell you.",5,If it is sealed or not cannot be determined by any test.,3
It rather depends on which country you're in.,Which country you're in rather depends on it.,4,Which country you're in rather depends on it.,2
This is a terrible idea.,"A terrible idea, this is.",4,"A terrible idea, this is.",4
Vivendi shares closed 1.9 percent at 15.80 euros in Paris after falling 3.6 percent on Monday.,"In Paris, Vivendi shares closed 1.9 percent at 15.80 euros after falling 3.6 percent on Monday.",4,"After falling 3.6 percent on Monday, Vivendi shares closed 1.9 percent at 15.80 euros in Paris.",5
Bremer said one initiative is to launch a US$70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects.,"One initiative is to launch a nationwide program in the next two weeks to clean up neighborhoods and build community projects, according to Bremer.",4,"To launch a US$70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects, Bremer said.",4
Governor Gray Davis estimated yesterday that the fires could cost nearly $2 billion.,"Yesterday, Governor Gray Davis estimated that the fires could cost nearly $2 billion.",5,Nearly $2 billion is estimated by Governor Gray Davis to be the cost of the fires.,5
The American Express Corp. has pledged at least $3 million of more than $5 million needed.,"At least $3 million has been pledged by The American Express Corp., out of more than $5 million needed.",4,"Of more than $5 million needed, the American Express Corp. has pledged at least $3 million.",4
"Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast July 15 with 85-mph wind.","On July 15, Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast with 85-mph wind.",5,"On July 15 with 85-mph wind, Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast.",4
Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.,"Results from PepsiCo Inc. (nyse: PEP - news - people), the No. 2 U.S. soft drink maker, were likely to be in the spotlight.",3,Likely to be in the spotlight were results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people).,4
"Taylor's aides warn an abrupt departure could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators.","An abrupt departure, according to Taylor's aides, could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators.",4,"An abrupt departure could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators, warn Taylor's aides.",4
"But Odette is the first to form over the Caribbean Sea in December, the Center said.",The Center said that Odette is the first to form over the Caribbean Sea in December.,4,"But the first to form over the Caribbean Sea in December, the Center said, is Odette.",4
The AFL-CIO is waiting until October to decide if it will endorse a candidate.,"Until October, the AFL-CIO is waiting to decide if it will endorse a candidate.",4,"If it will endorse a candidate, the AFL-CIO is waiting until October to decide.",4
"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.","With consultation from more than 300 leaders in academia, industry, government, and the public, it was developed.",5,"With consultation from more than 300 leaders in academia, industry, government, and the public, it was developed.",5
Local police authorities are treating the explosion as a criminal matter and nothing has been ruled out.,"The explosion is being treated as a criminal matter by local police authorities, and nothing has been ruled out.",4,"As a criminal matter, local police authorities are treating the explosion, and nothing has been ruled out.",5
Chiron already has nearly 20 percent acceptances from PowderJect's shareholders.,PowderJect's shareholders already has nearly 20 percent acceptances from Chiron.,2,"Nearly 20 percent acceptances from PowderJect's shareholders, Chiron already has.",5
