sentence1,relation,relationscore,structure,structurescore
A white cat perched on a small wooden cabinet is looking outside the window,"Looking outside the window, a small wooden cabinet is perched on a white cat.",1,"Perched on a small wooden cabinet, a white cat is looking outside the window.",5
The cat perched on the table is looking out the window,"Looking out the window, the cat perched on the table is.",4,The cat perched on the table is looking out the window.,4
There is no dog licking a baby,A baby is not being licked by a dog.,1,A baby is not being licked by any dog.,4
A dog is walking away from a baby,"Away from a baby, a dog is walking.",4,Walking away from a baby is a dog.,4
The man is wildly dancing,The man is dancing wildly.,5,"Wildly dancing, the man is.",5
The person is not writing with a pencil,The person is writing without a pencil.,4,"Writing with a pen, the person is not.",2
The writing is about a person penciling,The writing is about a person who is not using a pencil.,2,"About a person penciling, the writing is.",4
The person is writing with a pencil,A pencil is being used by the person for writing.,5,The person is writing with a pencil.,4
Somebody is boiling okra in a pot,Okra is boiling in a pot by somebody.,5,Okra is being boiled in a pot by somebody.,4
A squirrel is crazily spinning around in circles,Spinning around in circles is a crazily squirrel.,4,"In circles, a crazily spinning squirrel can be seen.",3
A man is putting down the flute,Putting down the flute is a man,3,The flute is being put down by a man.,3
The man is skillfully playing the guitar,Skillfully playing the guitar is the man,4,Skillfully playing the guitar is the man.,4
A man is playing a flute,Playing a flute is a man,3,A flute is being played by a man.,5
A man is playing the drums,Playing the drums is a man,3,The drums are being played by a man.,5
The woman is not handling a frog,A frog is not handling the woman.,5,"Not handling a frog, the woman is.",5
Four young men are standing still and a car is exploding behind them,A car is standing still and four young men are exploding behind it.,2,"Behind the four young men standing still, a car is exploding.",4
"The boys are standing in front of the car, which is burning",The burning car is standing in front of the boys.,2,"In front of the burning car, the boys are standing.",5
The boys are standing in front of the burning car,The burning boys are standing in front of the car.,1,The burning car is in front of the boys standing.,4
There is no boy filling a pitcher with water,A pitcher with water is not being filled by any boy.,5,No pitcher is being filled with water by a boy.,5
Runners are racing down a track,A track is racing down runners.,2,"Down a track, runners are racing.",4
Some men are running a race,A race is being run by some men.,3,"Running a race, some men are.",4
The men are packing suitcases into the trunk of a car,The trunk of a car is packing men's suitcases.,1,Suitcases are being packed into the trunk of a car by the men.,4
The men are carefully putting suitcases into the trunk of a car,The trunk of a car is haphazardly receiving suitcases from the men.,2,"Carefully, the men are putting suitcases into the trunk of a car.",4
The men are not putting suitcases into the trunk of a car ,The men are taking suitcases out of the trunk of a car.,0,The men are putting suitcases into the backseat of a car.,2
The men are putting suitcases into the trunk of a car,The trunk of a car is being filled with suitcases by the men.,3,The trunk of a car is being filled with suitcases by the men.,4
The men are in the suitcases that are being packed in the trunk of a car,The suitcases being packed in the trunk of a car contain the men.,1,"In the trunk of a car, the men are packed with the suitcases.",2
Eyeshadow is being put on by a woman,A woman is putting on eyeshadow with her feet.,0,A woman is putting on eyeshadow.,5
A toy train is violently striking a toy car,A toy car is violently striking a toy train.,2,"Violently, a toy train strikes a toy car.",3
A toy train is striking a toy car,A toy car is striking a toy train gently.,1,A toy car is being struck by a toy train.,5
The person is peeling an onion,An onion is peeling a person.,0,An onion is being peeled by the person.,5
A person is peeling an onion,An onion is being peeled by a person.,5,Peeling an onion is a person.,2
A man is putting down the guitar,The guitar is putting down a man.,0,"Putting down the guitar, a man is.",4
A woman is playing a guitar,A guitar is playing a woman.,0,"Playing a guitar, a woman is.",5
A boy is looking at a calendar,A calendar is looking at a boy.,0,"Looking at a calendar, a boy is.",5
The boy is studying a calendar,The calendar is studying a boy.,0,"Studying a calendar, the boy is.",5
A boy is studying a calendar,A calendar is studying a boy.,0,"Studying a calendar, a boy is.",5
A person is stupidly throwing a cat at the ceiling,A cat is stupidly throwing a person at the ceiling.,0,"Stupidly throwing a cat at the ceiling, a person is.",4
A person is throwing a cat at the ceiling,A cat is throwing a person at the ceiling.,0,A person is throwing a cat at the ceiling.,5
There is no person throwing a cat at the ceiling,No person is throwing a cat at the ceiling,4,No person is throwing a cat at the ceiling.,5
The woman is taking up and holding a baby kangaroo,The baby kangaroo is taking up and holding the woman.,2,"Holding a baby kangaroo, the woman is.",4
The woman is picking up and holding a baby kangaroo,The baby kangaroo is picking up and holding the woman.,2,"Picking up and holding a baby kangaroo, the woman is.",4
A woman is dancing and a man is playing the keyboard,The man is dancing and a woman is playing the keyboard.,2,"Playing the keyboard, a man is, while a woman is dancing.",4
A woman is playing the keyboard and a man is dancing,The man is playing the keyboard and a woman is dancing.,2,"Dancing, a man is, while a woman is playing the keyboard.",4
A woman is gracefully dancing on a stage,"On a stage, a woman is awkwardly dancing.",1,"On a stage, a woman is gracefully dancing.",5
A woman is walking off a stage,A stage is walking off a woman.,0,"Off a stage, a woman is walking.",4
A woman is staging a dance,A dance is staging a woman.,0,"Dancing, a woman is staging.",4
A woman is scrubbing a zucchini with a brush for vegetables,A brush for vegetables is scrubbing a woman with a zucchini.,0,"With a brush for vegetables, a woman is scrubbing a zucchini.",4
A person is scrubbing a zucchini,A zucchini is scrubbing a person.,0,"Scrubbing a zucchini, a person is.",4
A person is packing a zucchini,A zucchini is packing a person.,0,A zucchini is being packed by a person.,3
A woman is scrubbing a zucchini with a vegetable brush,A vegetable brush is being used by a zucchini to scrub a woman.,0,"With a vegetable brush, a zucchini is being scrubbed by a woman.",4
A man in a cap is playing a harp,A harp is being played by a man wearing a cap on his foot.,0,"Playing a harp, a man in a cap is.",4
A horse is being ridden in a creek by a man,A man is riding a horse in a creek,5,A man is riding a horse in a creek.,5
The man is not riding a horse by a creek,"By a creek, the man is not riding a horse",2,"By a creek, the man is not riding a horse.",2
The cat is playing keyboards,Keyboards are being played by the cat,5,Keyboards are being played by the cat.,5
A cat is playing keyboards,The cat is playing the keyboards,5,"Playing keyboards, a cat is.",4
The man is walking along a path through the wilderness,"Through the wilderness, a path is being walked by the man",4,"Through the wilderness, a man is walking along a path.",4
A man is walking down a road,A road is being walked down by a man,5,"Down a road, a man is walking.",5
A man is going into the water,The water is being entered by a man,5,The man is entering the water.,5
The man is dipping into a swamp,A swamp is dipping into the man.,4,"Dipping into a swamp, the man is.",4
A man is escaping a rising swamp,A rising man is escaping from a swamp.,3,"Escaping a rising swamp, a man is.",3
The man is rising from a swamp,"From a swamp, the man is rising.",5,"From a swamp, rising is the man.",5
A man is rising from a swamp,The swamp is rising from a man.,2,"Rising from a swamp, is a man.",4
A man is dangerously dancing on the ceiling of a room,"Dangerously, the ceiling of a room is dancing on a man.",1,"Dangerously on the ceiling of a room, a man is dancing.",3
A man is dancing upside-down on the ceiling,"Upside-down on the ceiling, a man is dancing.",5,"Upside-down on the ceiling, a man is dancing.",5
There is no man dancing,"Dancing, there is no man.",1,There is no dancing man.,2
A man is singing passionately,"Passionately, a man is singing.",5,"Passionately singing, a man is.",5
The girl is lounging,Lounging is the girl.,1,Lounging is the girl.,1
A girl is exercising,"Exercising, a girl is.",5,"Exercising, a girl is.",5
Boys are dancing in front of some people,Some people are dancing in front of boys,3,"In front of some people, boys are dancing.",5
Two men are doing a funny skit with a boxer in front of a crowd of people,A crowd of people is watching two men do a serious skit with a boxer,2,"With a boxer in front of a crowd of people, two men are doing a funny skit.",5
Young men are dancing in front of some people,Some people are watching young men dance,3,"In front of some people, young men are dancing.",5
A boy is checking a calendar,"Checking a calendar, a boy is.",4,Checking a calendar is a boy.,2
A boy is attentively looking at a calendar,"Looking at a calendar, a boy is attentively.",4,"At a calendar, a boy is looking attentively.",4
The men are fighting with their fists in a ring,"Fighting with their fists in a ring, the men are.",5,"In a ring, their fists the men are using to fight.",3
The men are fist fighting in a ring,"Fist fighting in a ring, the men are.",4,"In a ring, the men are fist fighting.",5
Two men are fist fighting in a ring,"Fist fighting in a ring, two men are.",4,"Fist fighting in a ring, two men are.",4
The boy is not riding a bike on the top of a metal fence,"Not riding a bike on the top of a metal fence, the boy is.",3,"On the top of a metal fence, the boy is not riding a bike.",3
The boy is riding a bike on the top of a metal fence,"Riding a bike on the top of a metal fence, the boy is.",4,"On the top of a metal fence, a bike is being ridden by the boy.",4
The boy is riding a bike on the top of a fence made of metal,"Riding a bike on the top of a fence made of metal, the boy is.",4,Riding a bike on the top of a fence made of metal is the boy.,2
A biker is riding away from a fence,"Riding away from a fence, a biker is.",3,"Away from a fence, a biker is riding.",2
A woman is slicing a clove of garlic,"Slicing a clove of garlic, a woman is.",4,A clove of garlic is being sliced by a woman.,4
A child is slowly waking up,A child is waking up slowly,4,Slowly waking up is a child.,4
A child is waking up,A waking up child,1,Waking up is a child.,4
A girl is awakening,Awakening is a girl,1,Awakening is a girl.,2
A girl is waking up,Waking up is a girl,1,The girl is being awakened.,2
A tomato is being sliced by a woman,"Being sliced by a woman, a tomato",1,A woman is slicing a tomato.,4
A boy is skillfully playing a piano,"Skillfully playing a piano, a boy",3,Skillfully playing a piano is a boy.,4
A man is singing and playing a guitar,"Singing and playing a guitar, a man",3,A guitar is being played and sung by a man.,4
A person is singing and playing a guitar,"Singing and playing a guitar, a person",3,Singing and playing a guitar is a person.,2
A man is climbing a rope,"Climbing a rope, a man",1,A rope is being climbed by a man.,4
A man is climbing up a rope,"Climbing up a rope, a man",1,A man is climbing up a rope.,2
The woman is picking up a kangaroo that is little,A little kangaroo is being picked up by the woman.,5,"Picking up a little kangaroo, the woman is.",4
There is no man breaking wooden boards with his hand,Wooden boards are not being broken by any man.,2,Wooden boards are not being broken by any man.,2
Tiles are being broken with his hands by a man,A man is breaking tiles with his feet.,2,"With his hands, a man is breaking tiles.",4
A man is repairing tiles with his hands,Tiles are being repaired by a man with his hands.,3,"Repairing tiles with his hands, a man is.",5
A person is riding a jetski in the waves,"In the waves, a person is being ridden by a jetski.",1,"In the waves, a person is riding a jetski.",3
A Seadoo is being ridden by a woman,A woman is being ridden by a Seadoo.,1,A woman is riding a Seadoo.,2
A woman is riding a Seadoo,A Seadoo is being ridden by a woman.,5,"Riding a Seadoo, the woman is.",5
A man is standing still,"Still, a man is standing",3,"Still, a man is standing.",5
A man is slowly dancing on the road,"On the road, a man is slowly dancing.",4,"On the road, a man is slowly dancing.",5
A man is running on the road,"On the road, a man is running.",4,"On the road, a man is sprinting.",4
The man is running on the road,"On the road, the man is running.",5,Running on the road is the man.,2
There is no dog running on the road,"On the road, there is no running dog.",1,No dog can be seen running on the road.,4
A dog is running on the road,"On the road, a running dog is present.",3,A dog is running on the road.,5
A man is outside and is throwing blades at a target which is close,A man is inside and is throwing blades at a target which is far.,2,A man is throwing blades at a target that is close while being outside.,5
A man is outside close to a target for blade throwing,A man is far from a target for blade throwing.,2,"Close to a target for blade throwing, a man is outside.",5
A man is outside and is throwing blades at a close target,A man is outside and is throwing blades at a far target.,2,"Outside, a man is throwing blades at a target that is close.",5
The man is throwing knives at a tree,The tree is throwing knives at the man.,1,"At a tree, the man is throwing knives.",5
A horse is being ridden by a man,A man is being ridden by a horse.,1,A man is riding a horse.,5
One man is riding a horse,A horse is riding a man.,0,Galloping on a horse is one man.,3
A man is stopping a horse,A horse is stopping a man.,0,A horse is being stopped by a man.,5
The man is riding a horse,The horse is riding the man.,0,Riding a horse is the man.,3
A picture is being drawn by a man,A man is being drawn by a picture.,0,A man is drawing a picture.,2
A man is taking a picture of a drawing,A drawing is being taken by a man of a picture.,0,A drawing is being photographed by a man.,3
A man is eating a pizza,A pizza is eating a man.,0,"Eating a pizza, a man is.",4
There is no man eating a pizza,There is a man eating everything but pizza.,1,A pizza is being eaten by no man.,2
A cute panda is lying down,A lying panda is cute.,4,Lying down is a cute panda.,5
The panda bear is resting on the logs,The logs are resting on the panda bear.,0,Resting on the logs is the panda bear.,4
The panda bear is lying on the logs,The logs are lying on the panda bear.,0,"On the logs, the panda bear is lying.",4
The log is lying on the panda bear,The panda bear is lying on the log.,0,The panda bear is being laid on by the log.,2
A dog is jumping on a trampoline,A trampoline is jumping on a dog.,0,"On a trampoline, a dog is jumping.",4
A dog is lying on a trampoline,A trampoline is lying under a dog.,0,"On a trampoline, a dog is lying.",4
There is no dog bouncing on a trampoline,There is no trampoline bouncing with a dog.,0,No dog is bouncing on a trampoline.,4
A man is doing back flips on a trampoline,Back flips are doing a man on a trampoline.,0,"Back flips on a trampoline, a man is doing.",5
There is no man doing back flips on a trampoline,A trampoline is doing back flips with no man on it.,0,"Doing back flips on a trampoline, no man is.",4
Several kids are jumping on a trampoline,Several trampolines are jumping on a kid.,1,"On a trampoline, several kids are jumping.",4
A woman is cutting meat,Meat is cutting a woman.,0,Meat is being cut by a woman.,5
A man is playing a wooden flute,A wooden flute is playing a man.,0,"Playing a wooden flute, a man is.",4
The man is cleaning the drawing on the board,The drawing on the board is cleaning the man.,0,The drawing on the board is being cleaned by the man.,5
The man is erasing the other man's work from the board,The other man's work is erasing the man from the board.,0,The man is removing the other man's work from the board.,5
The man is erasing the drawing on the board,The man is erasing the board from the drawing.,0,The drawing on the board is being erased by the man.,5
There is no woman cutting a vegetable,"There is a man cutting a vegetable, not a woman.",2,No woman is cutting a vegetable.,5
An eggplant is being sliced by a woman,"A woman is slicing a tomato, not an eggplant.",1,A woman is slicing an eggplant.,5
A woman is slicing an eggplant,Slicing an eggplant is a woman,1,An eggplant is being sliced by a woman.,5
A dog is eating a doll,A doll is being eaten by a dog,4,"Eating a doll, a dog is.",3
A dog is playing with a toy,A toy is being played with by a dog,4,"With a toy, a dog is playing.",5
A man is praying fervently,"Fervently, a man is praying",3,"Fervently praying, a man is.",3
There is no man praying,"Praying, there is no man",2,"Praying, no man is.",5
A man is praying,"Praying, a man is",3,Praying is a man.,4
There is no man slicing some bread,"Slicing some bread, there is no man",2,No man is slicing some bread.,5
A man is slicing some bread,"Slicing some bread, a man is",3,"Slicing some bread, a man is.",4
A man is slicing bread,"Slicing bread, a man is",4,A man is slicing bread.,5
Someone is scratching the belly of an animal,The belly of an animal is being scratched by someone,4,The belly of an animal is being scratched by someone.,5
Someone is stroking the belly of an animal,The belly of an animal is being stroked by someone,4,The belly of an animal is being stroked by someone.,5
A lemur is eating quickly,"Quickly, a lemur is eating",4,"Quickly eating, a lemur is.",3
A lemur is eating,Eating is a lemur,2,"Eating, a lemur is.",2
The animal with big eyes is voraciously eating,Voraciously eating is the animal with big eyes,4,"Voraciously eating, the animal with big eyes is.",4
Guitar is being played by two men,Being played by two men is a guitar,3,"Played by two men, guitar is.",5
Two men are talking,Talking are two men,2,"Talking, two men are.",3
Two people are talking,Talking are two people,2,"Talking, two people are.",4
Two girls are playing guitar,Playing guitar are two girls,2,"Playing guitar, two girls are.",3
A man is playing an electronic keyboard,Playing an electronic keyboard is a man,4,An electronic keyboard is being played by a man.,4
There is no man playing a flute,Playing a flute is no man,0,"Playing a flute, there is no man.",2
A song is being sung by a clown,Being sung by a clown is a song,3,A clown is singing a song.,3
There is no clown singing,No clown is singing,1,A clown is not singing.,1
A clown is singing and people are dancing,People are dancing and a clown is singing,3,People are dancing while a clown sings.,4
A costumed performer is singing and people are dancing,People are dancing and a costumed performer is singing,3,People are dancing while a costumed performer sings.,5
There is no clown singing and people are not dancing,No clown is singing and people are not dancing,2,No clown is singing and people are not dancing.,5
People are singing and a clown is dancing,A clown is dancing and people are singing,3,A clown is dancing while people sing.,3
The horse is being ridden by the girl,The girl is riding the horse,3,The girl is riding the horse.,5
The girl is spraying the plants with water,The plants are not being sprayed with water by the girl,2,Water is being sprayed on the plants by the girl.,4
A man is rapidly chopping some mushrooms with a knife,The mushrooms are being slowly chopped by a man with a knife,3,Mushrooms are being rapidly chopped by a man with a knife.,4
There is no man rapidly chopping some mushrooms with a knife,A man is rapidly chopping some carrots with a knife,1,There is nobody rapidly chopping some mushrooms with a knife.,1
A person is not quickly chopping mushrooms with a knife,A person is quickly chopping onions with a knife.,1,Mushrooms are not being quickly chopped with a knife by a person.,1
A man is quickly chopping some mushrooms with a knife,Some mushrooms is quickly chopping a man with a knife,0,Some mushrooms are being quickly chopped with a knife by a man.,5
A person is quickly chopping mushrooms with a knife,Mushrooms is quickly chopping a person with a knife,0,"Quickly chopping mushrooms with a knife, a person is.",5
A man and a woman are shaking hands,A woman and a man are shaking hands,4,Shaking hands are a man and a woman.,5
An old woman is shaking hands with a man,A man is shaking hands with an old woman,4,A man is shaking hands with an old woman.,5
An woman that is old is shaking hands with a man,A man is shaking hands with an old woman,2,An old woman is shaking hands with a man.,3
A young woman is shaking hands with a man,A man is shaking hands with a young woman,4,A man is shaking hands with a young woman.,5
A woman is chopping up an octopus,An octopus is chopping up a woman,0,An octopus is being chopped up by a woman.,4
The man is cutting cooked octopus,Cooked octopus is cutting the man,1,Cooked octopus is being cut by the man.,5
The woman is cutting cooked octopus,Cooked octopus is cutting the woman,1,Cooked octopus is being cut by the woman.,5
There is no woman chopping up an octopus,There is an octopus chopping up no woman,0,There is no one chopping up an octopus.,4
An airplane is taking off,Taking off is an airplane,4,The plane is taking off.,5
A woman is not riding a horse,Not riding a horse is a woman,4,Not riding a horse is a woman.,3
A man is shooting guns,Shooting guns is a man,4,Guns are being shot by a man.,5
A man is shooting a weapon,Shooting a weapon is a man,4,A weapon is being shot by a man.,5
A man is cutting a potato,Cutting a potato is a man,4,A potato is being cut by a man.,5
There is no man cutting a potato,Cutting a potato is not a man,1,There is no potato being cut by a man.,2
A man is making a sketch,Making a sketch is a man,4,Making a sketch is a man.,4
A girl is drawing a man,Drawing a man is a girl,1,A man is being drawn by a girl.,5
The man is drawing,Drawing is the man,4,Drawing is being done by the man.,5
The woman is drawing a man,Drawing a man is the woman,3,A man is being drawn by the woman.,5
There is no man eating a banana,A banana is not being eaten by a man,0,No man is eating a banana.,5
A dog is barking noisily,Noisily barking is a dog,1,"Noisily barking, a dog is.",4
A jet is not flying,Not flying is a jet,1,"Not flying, a jet is.",4
A jet is flying,Flying is a jet,5,"Flying, a jet is.",5
A man is cutting a paper,A paper is being cut by a man,3,A paper is being cut by a man.,5
A person is tearing paper,Paper is being torn by a person,4,Paper is being torn by a person.,5
A person is not tearing paper,Not tearing paper is a person,2,"Not tearing paper, a person is.",5
A person is tearing sheets,Sheets are being torn by a person,4,Sheets are being torn by a person.,3
A man is cutting himself with a piece of paper,A piece of paper is cutting a man,0,A piece of paper is cutting the man.,2
Someone is playing a piano,A piano is playing someone.,1,A piano is being played by someone.,5
A man is untying a shoe,A shoe is being tied by a man.,1,A shoe is being untied by a man.,5
A shoe is being tied by a man,A man is tying a shoe on a shoe.,1,A man is tying a shoe.,3
A guy is not riding a horse,A horse is not being ridden by a guy.,1,A horse is not being ridden by a guy.,3
A man is riding a horse on the beach,"On the beach, a horse is riding a man.",1,"On the beach, a man is riding a horse.",5
A man is riding a horse in a sandy land,"In a sandy land, a horse is being ridden by a man",4,"In a sandy land, a horse is being ridden by a man.",3
A man is riding a horse in the desert,A horse is riding a man in the desert,1,A horse is being ridden by a man in the desert.,4
A paper plate is being cut by a man,A man is being cut by a paper plate,1,A man is cutting a paper plate.,3
The man is not cutting a paper plate,A paper plate is not cutting the man,0,A paper plate is not being cut by the man.,2
Two men are competing in a tire rolling race,A tire rolling race is competing in two men,1,"Competing in a tire rolling race, two men are.",5
There are no people flipping the tires of a tractor,The tires of a tractor are not being flipped by people,1,People are not flipping the tires of a tractor.,5
Two people in a race are flipping the tires of a tractor,The tires of a tractor are being flipped by two people in a race,2,"Flipping the tires of a tractor, two people are racing.",5
There is no man patting an alligator on the mouth,An alligator on the mouth is not being patted by a man,0,"Patting an alligator on the mouth, there is no man.",5
A person is dropping chopped vegetables into a pot on the stove,Chopped vegetables into a pot on the stove are being dropped by a person,1,Chopped vegetables are being dropped into a pot on the stove by a person.,4
There is no woman putting on lipstick,Lipstick is not being put on by any woman.,5,"Putting on lipstick, no woman is.",5
A man is playing an instrument,"Playing an instrument, a man is",4,An instrument is being played by a man.,5
A man is singing to a girl,A girl is singing to a man.,1,"To a girl, a man is singing.",4
A man is talking on the phone,The phone is talking to a man.,1,"On the phone, a man is talking.",5
The rhino is grazing on the grass,The grass is being grazed by a rhino.,2,"Grazing on the grass, the rhino is.",5
A man and a woman are running together and holding hands,A man and a woman are walking separately and not holding hands.,1,"Holding hands, a man and a woman are running together.",5
A man is punching a soccer ball,A soccer ball is punching a man.,1,A soccer ball is being punched by a man.,4
The content of a bowl is being mixed by a man,A man is mixing the bowl's content with his feet.,1,A man is mixing the content of a bowl.,5
A man is mixing the content of a bowl,The content of a bowl is mixing a man.,2,"Mixing the content of a bowl, a man is.",4
The woman is pouring oil into the pan,The pan is pouring oil into the woman.,1,Oil is being poured into the pan by the woman.,3
The boy is not playing the piano,The piano is not playing the boy.,0,"Not playing the piano, the boy is.",4
A girl is brushing her hair,Her hair is brushing a girl.,2,"Her hair, a girl is brushing.",4
The doctors are healing a man,A man is healing the doctors.,0,"Healing a man, the doctors are.",4
The doctors are reviving a man,A man is reviving the doctors.,0,"Reviving a man, the doctors are.",4
The doctor is helping the patient,The patient is helping the doctor.,1,"Helping the patient, the doctor is.",4
The doctor is not helping the patient,The patient is not helping the doctor.,2,"Not helping the patient, the doctor is.",4
There is no man massaging a woman,A woman is massaging a man.,0,A woman is not being massaged by a man.,4
There is no man screwing a piece of wood to a wall,A wall is screwing a piece of wood to a man.,0,A piece of wood is not being screwed to a wall by a man.,4
A man is massaging a woman,A woman is massaging a man,4,Massaging a woman is a man.,2
A man is screwing a piece of wood to a wall,A piece of wood is screwing a man to a wall,0,A piece of wood is being screwed to a wall by a man.,5
A man is driving a car,A car is being driven by a man,5,A car is being driven by a man.,5
A man is riding a horse,A horse is riding a man,0,A horse is being ridden by a man.,5
A cat is crawling under a piece of furniture,A piece of furniture is crawling under a cat,0,"Under a piece of furniture, a cat is crawling.",5
A cat is sliding upside down under a couch,"Upside down, a couch is sliding under a cat",0,"Upside down under a couch, a cat is sliding.",5
There is no man riding a horse,There is a horse being ridden by a man,1,"Riding a horse, there is no man.",2
A man is shaking a container over a sink in the kitchen,"Over a sink in the kitchen, a man is shaking a container",5,A container is being shaken over a sink in the kitchen by a man.,5
There is no man shaking a container over a sink in the kitchen,There is a container being shaken over a sink in the kitchen by a man,1,"Shaking a container over a sink in the kitchen, there is no man.",2
Some men are fighting,Fighting are some men,1,"Fighting, some men are.",2
Two men are battling,Battling are two men,1,"Battling, two men are.",1
Two men are not fighting,Fighting are not two men,1,"Not fighting, two men are.",5
There are no men fighting,Fighting are no men there,1,"Fighting, no men are.",5
Two men are fighting,Fighting are two men,3,"Fighting, two men are.",5
Two women are happily dancing,Dancing are two women happily,2,Happily dancing are two women.,5
Two women are dancing,Dancing are two women,2,"Dancing, two women are.",2
A horse is being ridden by a woman,Being ridden is a horse by a woman,2,"Being ridden by a woman, a horse is.",3
There is no hamster singing,Singing is no hamster there,1,"Singing, no hamster is.",5
A small animal is singing,Singing is a small animal,2,"Singing, a small animal is.",3
There is no man singing and playing a guitar,No man is playing a guitar and singing,3,The guitar is not being played and sung by a man.,5
There is no man driving a car,No man is driving a car,3,No man is driving a car.,5
A boy is cutting grass with scissors,Grass is being cut by a boy with scissors,4,Grass is being cut with scissors by a boy.,5
There is no boy cutting grass with scissors,No boy is cutting grass with scissors,4,There is no boy cutting grass with scissors.,5
The boy is cutting the grass by the curb with scissors,The grass by the curb is being cut by the boy with scissors,4,"By the curb, the grass is being cut with scissors by the boy.",5
There is no man playing a violin,No man is playing a violin,2,No man is playing a violin.,5
There is no man playing a harp,No man is playing a harp,1,No man is playing a harp.,5
A keyboard is being played by a man,A man is playing a keyboard,4,A man is playing the keyboard.,5
A man is cutting a cord with a sword,A cord is being cut by a man with a sword,2,A cord is being cut with a sword by a man.,5
There is no man cutting a rope with a sword,No man is cutting a rope with a sword,3,"Cutting a rope with a sword, no man is.",3
A man is tying a thick rope,A thick rope is tying a man,0,"A thick rope, a man is tying.",5
A man is cutting a rope with a sword,A sword is cutting a man with a rope,1,A rope is being cut by a man with a sword.,5
A man is cutting a thick rope with a sword,A thick man is cutting a rope with a sword,2,A thick rope is being cut by a man with a sword.,5
A man is removing the peel of an onion,An onion is removing the peel of a man,0,"An onion's peel, a man is removing.",3
There is no man peeling an onion,No onion is being peeled by a man,5,No man is peeling an onion.,5
A man is walking along a track through a wilderness,A wilderness is walking along a track with a man,0,"Through a wilderness, a track is being walked by a man.",5
A man is walking along a path through a wilderness,A wilderness is walking along a man with a path,0,"Through a wilderness, a path is being walked by a man.",5
There is no woman cutting a potato,No woman is cutting a potato,3,"Cutting a potato, no woman is.",5
An onion is being sliced by a woman,A woman is slicing an onion,4,A woman is slicing an onion.,5
A woman is cutting a potato,A potato is cutting a woman.,0,A potato is being cut by a woman.,4
A man is drilling a hole in a piece of wood,A piece of wood is drilling a hole in a man.,0,"In a piece of wood, a man is drilling a hole.",5
Someone is drilling a hole in a strip of wood with a power drill,A power drill is being drilled by someone into a strip of wood.,0,"Using a power drill, a hole is being drilled in a strip of wood by someone.",4
Nobody is drilling a hole in a strip of wood with a power drill,A strip of wood is drilling a hole into nobody with a power drill.,0,"In a strip of wood, nobody is using a power drill to drill a hole.",4
A woman is cutting garlic,Garlic is cutting a woman.,0,Garlic is being cut by a woman.,5
A man is showing off a small monkey,A small monkey is showing off a man.,0,A small monkey is being shown off by a man.,5
A group of boys is playing soccer on the seashore,A seashore is playing soccer with a group of boys.,0,"On the seashore, a group of boys is playing soccer.",5
A group of boys is not playing soccer on the beach,Not playing soccer on the beach is a group of boys.,4,"Not playing soccer on the beach, a group of boys is.",4
A man is cutting pieces of butter into a mixing bowl,"Into a mixing bowl, a man is throwing pieces of butter.",2,Pieces of butter are being cut by a man into a mixing bowl.,4
A monkey is kicking a person,A person is kicking a monkey.,1,"Kicking a person, a monkey is.",4
There is no monkey kicking a person,There is a monkey kicking a person,2,No monkey is kicking a person.,2
A monkey is practicing martial arts,Martial arts are being practiced by a monkey,2,"Practicing martial arts, a monkey is.",4
A person is being kicked by a monkey,A monkey is kicking a person,2,A monkey is kicking a person.,2
A man is fixing a silencer to a gun,A gun is fixing a silencer to a man,0,"Fixing a gun, a man is to a silencer.",2
There is no man fixing a silencer to a gun,There is no gun fixing a silencer to a man,0,A man is not fixing a silencer to a gun.,1
A man is fitting a silencer to a pistol,A pistol is fitting a silencer to a man,0,"Fitting a pistol, a man is to a silencer.",2
A person is performing tricks on a motorcycle,A motorcycle is performing tricks on a person,0,"Performing tricks on a motorcycle, a person is.",4
A man on a motorcycle is riding on one wheel,One wheel is riding on a man on a motorcycle,0,"On one wheel, a man is riding a motorcycle.",5
A person is not performing tricks on a motorcycle,A motorcycle is not performing tricks on a person,0,"Not performing tricks on a motorcycle, a person is.",1
A man on a motorcycle is doing a trick,A trick is doing a man on a motorcycle,0,"Doing a trick, a man on a motorcycle is.",5
A little girl is playing the violin on a beach,"On a beach, a violin is playing the little girl",0,"On a beach, a little girl is playing the violin.",5
A man is singing into an old microphone,An old microphone is singing into a man,0,"Into an old microphone, a man is singing.",5
A woman is singing into a microphone,A microphone is singing into a woman,0,"Into a microphone, a woman is singing.",5
A man is dancing in the rain,A man in the rain is dancing,4,"In the rain, a man is dancing.",5
A person is dancing in the rain,A person in the rain is dancing,4,"Dancing in the rain, a person is.",4
A man is singing into a microphone,"Into a microphone, a man is singing",4,"Into a microphone, a man is singing.",4
A man is cooking a snake,A snake is being cooked by a man,2,A snake is being cooked by a man.,4
The man is removing sliced cucumbers from water,Sliced cucumbers are being removed from water by the man,3,"From water, the man is removing sliced cucumbers.",5
A little boy is playing a guitar,Playing a guitar is a little boy,1,Playing a guitar is a little boy.,2
A boy is playing guitar,Playing guitar is a boy,1,Guitar is being played by a boy.,4
An elephant is being ridden by a woman,Being ridden by a woman is an elephant,1,A woman is riding an elephant.,3
A woman is riding on an elephant,Riding on an elephant is a woman,1,"On an elephant, a woman is riding.",5
A guitar is being played by a kid,Being played by a kid is a guitar,2,A kid is playing the guitar.,3
